iter	Passed	Remaining
973	48297	1289
974	48340	1239
975	48391	1189
976	48441	1140
977	48478	1090
978	48525	1040
979	48619	992
980	48667	942
981	48700	892
982	48766	843
983	48887	794
984	48947	745
985	49000	695
986	49058	646
987	49110	596
988	49165	546
989	49204	497
990	49238	447
991	49338	397
992	49401	348
993	49443	298
994	49464	248
995	49517	198
996	49549	149
997	49591	99
998	49649	49
999	49709	0
