iter	Accuracy	Logloss
283	0.7158854365	0.5902541938
284	0.7158854365	0.5902541938
285	0.7158854365	0.5902541938
286	0.7158854365	0.5902541414
287	0.7158854365	0.5902540918
288	0.7158854365	0.5902540918
289	0.7158854365	0.5902540918
290	0.7158854365	0.5902540918
291	0.7158854365	0.5902540918
292	0.7158854365	0.5902540918
293	0.7158854365	0.5902540918
294	0.7158854365	0.5902540918
295	0.7158854365	0.590254045
296	0.7158854365	0.590254045
297	0.7158854365	0.590254045
298	0.7158854365	0.590254045
299	0.7158854365	0.590254045
300	0.7158854365	0.5902540399
301	0.7158854365	0.5902540399
302	0.7158854365	0.5902540399
303	0.7158854365	0.5902540399
304	0.7158854365	0.5902540399
305	0.7158854365	0.5902540399
306	0.7158854365	0.5902540399
307	0.7158854365	0.5902540399
308	0.7158854365	0.5902540399
309	0.7158854365	0.5902540399
310	0.7158854365	0.5902540399
311	0.7158854365	0.5902540399
312	0.7158854365	0.5902540399
313	0.7158854365	0.5902539958
314	0.7158854365	0.5902539958
315	0.7158854365	0.5902539958
316	0.7158854365	0.590253991
317	0.7158854365	0.5902539494
318	0.7158854365	0.5902539494
319	0.7158854365	0.5902539494
320	0.7158854365	0.5902539494
321	0.7158854365	0.5902539494
322	0.7158854365	0.5902539494
323	0.7158854365	0.5902539494
324	0.7158854365	0.5902539494
325	0.7158854365	0.5902539494
326	0.7158854365	0.5902539494
327	0.7158854365	0.5902539494
328	0.7158854365	0.5902539494
329	0.7158854365	0.5902539494
330	0.7158854365	0.5902539494
331	0.7158854365	0.5902539494
332	0.7158854365	0.5902539494
333	0.7158854365	0.5902539494
334	0.7158854365	0.5902539494
335	0.7158854365	0.5902539494
336	0.7158854365	0.5902539494
337	0.7158854365	0.5902539492
338	0.7158854365	0.5902539492
339	0.7158854365	0.5902539492
340	0.7158854365	0.5902539492
341	0.7158854365	0.5902539492
342	0.7158854365	0.5902539492
343	0.7158854365	0.5902539491
344	0.7158854365	0.5902539491
345	0.7158854365	0.5902539491
346	0.7158854365	0.5902539491
347	0.7158854365	0.5902539491
348	0.7158854365	0.5902539491
349	0.7158854365	0.5902539491
350	0.7158854365	0.5902539491
351	0.7158854365	0.5902539491
352	0.7158854365	0.5902539491
353	0.7158854365	0.5902539491
354	0.7158854365	0.5902539491
355	0.7158854365	0.5902539491
356	0.7158854365	0.5902539491
357	0.7158854365	0.5902539491
358	0.7158854365	0.5902539491
359	0.7158854365	0.5902539491
360	0.7158854365	0.5902539491
361	0.7158854365	0.5902539491
362	0.7158854365	0.5902539491
363	0.7158854365	0.5902539491
364	0.7158854365	0.5902539491
365	0.7158854365	0.5902539491
366	0.7158854365	0.5902539491
367	0.7158854365	0.5902539491
368	0.7158854365	0.5902539491
369	0.7158854365	0.5902539491
370	0.7158854365	0.5902539491
371	0.7158854365	0.5902539491
372	0.7158854365	0.5902539491
373	0.7158854365	0.5902539491
374	0.7158854365	0.5902539491
375	0.7158854365	0.5902539491
376	0.7158854365	0.5902539491
377	0.7158854365	0.5902539491
378	0.7158854365	0.5902539491
379	0.7158854365	0.5902539491
380	0.7158854365	0.5902539491
381	0.7158854365	0.5902539491
382	0.7158854365	0.5902539491
383	0.7158854365	0.5902539491
384	0.7158854365	0.5902539491
385	0.7158854365	0.5902539491
386	0.7158854365	0.5902539491
387	0.7158854365	0.5902539491
388	0.7158854365	0.5902539491
389	0.7158854365	0.5902539491
390	0.7158854365	0.5902539491
391	0.7158854365	0.5902539491
392	0.7158854365	0.5902539491
393	0.7158854365	0.5902539491
394	0.7158854365	0.5902539491
395	0.7158854365	0.5902539491
396	0.7158854365	0.5902539491
397	0.7158854365	0.5902539491
398	0.7158854365	0.5902539491
399	0.7158854365	0.5902539491
400	0.7158854365	0.5902539491
401	0.7158854365	0.5902539491
402	0.7158854365	0.5902539491
403	0.7158854365	0.5902539491
404	0.7158854365	0.5902539491
405	0.7158854365	0.5902539491
406	0.7158854365	0.5902539491
407	0.7158854365	0.5902539491
408	0.7158854365	0.5902539491
409	0.7158854365	0.5902539491
410	0.7158854365	0.5902539491
411	0.7158854365	0.5902539491
412	0.7158854365	0.5902539491
413	0.7158854365	0.5902539491
414	0.7158854365	0.5902539491
415	0.7158854365	0.5902539491
416	0.7158854365	0.5902539491
417	0.7158854365	0.5902539491
418	0.7158854365	0.5902539491
419	0.7158854365	0.5902539491
420	0.7158854365	0.5902539491
421	0.7158854365	0.5902539491
422	0.7158854365	0.5902539491
